approach,model,accuracy,accuracy_status,mean_coverage,mean_precision,mean_effectiveness,state_explainability,test_rule_applicability,teacher_iterations,domain_rules
ours_knowledge_agnostic,signature_interval_rules,0.8853754940711462,computed_from_workbook_p1_state_after_discovery,0.6420454545454546,1.0,0.8012773892638271,,0.9333333333333333,0,0
Sensor2EventLog_reported,HMM,0.76,reported_by_paper_after_teacher_loop,,,,all_states_above_0.78,,2,2
Sensor2EventLog_reported,K-means,0.94,reported_by_paper_after_teacher_loop,,,,all_states_above_0.78,,2,2
