reference_state,rule_id,state_support,rule_support,overlap,coverage,precision,effectiveness
P1_STATE=2,0,3424,1844,1224,0.3574766355140187,0.6637744034707158,0.48711789178086684
P1_STATE=2,1,3424,40,36,0.010514018691588784,0.9,0.0972759827626013
P1_STATE=2,2,3424,2164,2164,0.6320093457943925,1.0,0.7949901545267039
P1_STATE=3,0,624,1844,620,0.9935897435897436,0.3362255965292842,0.5779881523386444
P1_STATE=3,1,624,40,4,0.00641025641025641,0.1,0.025318484177091666
P1_STATE=3,2,624,2164,0,0.0,0.0,0.0
